zip_code,das_type_hd,das_type_sp
06024,DAS_EXTENDED,DAS_EXTENDED
06027,,DAS_EXTENDED
06031,,DAS
06035,DAS,DAS
06039,DAS,DAS
06043,DAS,
06057,DAS,DAS
06060,DAS,DAS
06061,DAS_EXTENDED,
06062,DAS,DAS
06063,DAS_EXTENDED,DAS_EXTENDED
06069,DAS_EXTENDED,
06071,DAS,DAS
06073,DAS,DAS
06076,DAS,DAS
06078,DAS,DAS
06081,DAS,DAS
06084,DAS,DAS
06085,DAS,DAS
06089,DAS,DAS
06092,DAS,
06093,DAS,
06098,DAS_EXTENDED,DAS_EXTENDED
06231,,DAS
06232,DAS,DAS
06234,DAS_EXTENDED,DAS
06235,DAS_EXTENDED,DAS_EXTENDED
06237,DAS,DAS
06238,DAS,DAS
06239,DAS,DAS
06242,DAS_EXTENDED,
06243,DAS,
06247,DAS_EXTENDED,DAS_EXTENDED
06248,DAS,
06249,DAS,
06250,DAS,
06254,DAS,
06255,DAS,DAS
06259,DAS_EXTENDED,DAS_EXTENDED
06262,DAS,
06266,,DAS
06268,DAS,DAS
06277,DAS,DAS
06278,DAS_EXTENDED,DAS_EXTENDED
06279,DAS,DAS
06280,DAS,
06281,DAS_EXTENDED,DAS_EXTENDED
06282,DAS_EXTENDED,
06330,DAS,DAS
06331,DAS,DAS
06333,DAS,DAS
06334,DAS_EXTENDED,DAS_EXTENDED
06335,DAS,DAS
06339,DAS,DAS
06351,DAS,DAS
06354,DAS,DAS
06355,DAS,DAS
06357,DAS,DAS
06359,DAS_EXTENDED,DAS_EXTENDED
06360,DAS,DAS
06365,,DAS_EXTENDED
06370,DAS,DAS
06371,DAS,DAS
06374,DAS,DAS
06375,DAS,DAS
06378,,DAS
06384,DAS_EXTENDED,
06387,DAS,
06401,DAS,DAS
06403,DAS,
06412,DAS,DAS
06415,DAS,DAS
06419,DAS,DAS
06420,DAS_EXTENDED,DAS_EXTENDED
06422,DAS,DAS
06423,DAS,DAS
06424,DAS,DAS
06426,DAS,
06437,DAS,DAS
06441,DAS,
06443,DAS,DAS
06447,DAS,DAS
06469,DAS,DAS
06470,DAS,DAS
06475,,DAS
06478,DAS,DAS
06479,DAS,DAS
06480,DAS,DAS
06481,DAS,DAS
06482,DAS,DAS
06483,DAS,DAS
06488,DAS,DAS
06498,DAS,DAS
06524,DAS,DAS
06525,DAS,DAS
06612,DAS,
06704,DAS,DAS
06712,DAS,DAS
06716,DAS,DAS
06751,DAS,DAS
06752,DAS_EXTENDED,DAS_EXTENDED
06755,DAS_EXTENDED,DAS_EXTENDED
06756,DAS_EXTENDED,DAS_EXTENDED
06759,DAS,DAS
06762,DAS,DAS
06763,DAS_EXTENDED,DAS_EXTENDED
06776,DAS,DAS
06778,DAS,
06779,DAS,DAS
06782,DAS,DAS
06783,DAS_EXTENDED,DAS_EXTENDED
